Postcode,Number of individuals lodging an income tax return,Count taxable income or loss,Average taxable income or loss,Median taxable income or loss,Proportion with salary or wages,Count salary or wages,Average salary or wages,Median salary or wages,Proportion with net rent,Count net rent,Average net rent,Median net rent,Count total income or loss,Average total income or loss,Median total income or loss,Count total deductions,Average total deductions,Median total deductions,Proportion with total business income,Count total business income,Average total business income,Median total business income,Proportion with total business expenses,Count total business expenses,Average total business expenses,Median total business expenses,Proportion with net tax,Count net tax,Average net tax,Median net tax,Count super total accounts balance,Average super total accounts balance,Median super total accounts balance
2195,13620,13620,40998,32806,0.75,10188,46121,40740,0.08,1138,1046,-194,13620,42501,33889,13620,1482,372,0.24,3203,52751,28745,0.22,3063,39151,14255,0.66,9045,10062,6448,14759,41069,9774
2196,17148,17148,48450,39260,0.77,13206,53031,46209,0.15,2575,1065,78,17148,50257,40754,17148,1760,506,0.15,2643,69319,32876,0.15,2526,51689,15896,0.71,12197,12856,8317,18526,69802,21708
2197,4549,4549,49712,40780,0.78,3557,54444,48000,0.16,719,-321,-291,4549,51646,42301,4549,1932,600,0.12,537,88673,40909,0.11,505,71090,19994,0.73,3300,13155,8794,4907,80445,27197
2198,4780,4780,54220,44212,0.77,3702,58556,51084,0.18,872,1175,2,4780,56301,46038,4780,2048,637,0.11,522,90234,38927,0.10,486,67526,18916,0.74,3524,15111,10008,5209,119607,46468
2199,9164,9164,49111,40980,0.79,7234,53193,47469,0.16,1443,702,0,9164,50963,42678,9164,1829,534,0.12,1086,82291,32156,0.11,1022,64920,15844,0.72,6627,12819,8809,9942,71703,23199
2200,23926,23926,47486,39088,0.79,18966,50712,45142,0.14,3253,1121,22,23926,49238,40602,23926,1721,480,0.13,3113,71200,31523,0.12,2954,54749,15834,0.71,16984,12378,8140,25634,63004,17154
2203,9015,9015,76967,62413,0.86,7758,77621,67300,0.16,1424,1360,278,9015,79587,64803,9015,2596,1000,0.12,1059,67347,21787,0.11,981,40717,8996,0.83,7525,23202,15471,10696,142162,61982
2204,16747,16747,73689,58839,0.86,14377,73963,62768,0.16,2667,2133,717,16747,76100,60891,16747,2375,900,0.12,2043,58618,23500,0.11,1881,34930,9705,0.83,13840,21969,14344,20354,114365,45159
2205,16040,16040,56741,45936,0.83,13359,61380,52397,0.15,2416,-2347,-1674,16040,58683,47938,16040,1911,650,0.14,2189,46879,24526,0.12,1926,31652,9408,0.75,11978,16387,10780,17840,63911,17165
2206,11616,11616,71958,54848,0.77,8965,72343,60954,0.26,3045,3809,1837,11616,74734,57037,11616,2627,840,0.11,1310,114063,32484,0.11,1233,90510,15047,0.79,9163,22670,14098,12789,150496,68205
2207,16478,16478,62577,48794,0.79,13026,65242,55666,0.22,3615,594,228,16478,64885,50738,16478,2280,750,0.11,1787,89785,29575,0.10,1698,70430,13216,0.76,12550,18836,11662,18225,121518,48125
2208,7686,7686,61847,48236,0.77,5921,64889,54902,0.24,1870,2452,1317,7686,64116,50336,7686,2226,662,0.11,824,90258,31876,0.10,760,71251,15328,0.76,5803,18469,11476,8443,122218,50456
2209,9661,9661,54918,44377,0.77,7457,60492,52594,0.22,2160,267,-274,9661,56947,46218,9661,1978,618,0.10,992,65136,25900,0.09,907,48906,11682,0.73,7026,15908,10571,10634,104906,36251
2210,18982,18982,60382,46854,0.78,14883,63376,53688,0.20,3732,281,-617,18982,62704,48714,18982,2205,676,0.10,1881,92838,29125,0.09,1747,73129,12273,0.74,14140,18339,11241,20878,134485,46997
2211,10531,10531,58470,49432,0.80,8457,63714,56555,0.20,2124,288,-110,10531,60635,51342,10531,2108,742,0.09,982,93796,29692,0.09,945,72672,13362,0.75,7950,16740,11635,11561,122977,52193
2212,9736,9736,58182,49243,0.83,8036,62221,54846,0.19,1825,-1000,-1012,9736,60239,51100,9736,2011,738,0.09,885,113209,31970,0.09,830,95312,14066,0.77,7451,16307,11555,10708,107457,45594
2213,13429,13429,64216,53233,0.83,11122,67453,58908,0.20,2683,122,-904,13429,66681,55227,13429,2330,877,0.08,1133,89241,30000,0.08,1062,68648,13874,0.79,10576,18601,12832,15051,140958,63185
2214,2457,2457,61512,51692,0.81,1999,64977,57999,0.16,400,83,-822,2457,63835,54083,2457,2321,822,0.08,192,74074,37942,0.07,177,53298,17209,0.78,1910,17523,12334,2828,144011,76223
2216,18542,18542,55305,44555,0.82,15232,57705,49120,0.16,2945,2029,221,18542,57249,46171,18542,1913,625,0.12,2196,68907,24914,0.11,1967,53899,11398,0.75,13938,15323,9679,21061,84162,23118
2217,18500,18500,61168,48830,0.81,15057,62797,53357,0.19,3486,1902,132,18500,63434,50516,18500,2216,765,0.10,1921,74853,25517,0.09,1748,55926,11072,0.77,14228,17774,11081,20012,110526,33909
